Character,Sentence
snape,Loss of limb will not excuse you.
harry,Does it seem a bit...quiet to you?
harry,Now what?
snape,"Well, well. Lupin."
hermione,"Clearly, something happened he wants us to change."
harry,She can't even sing.
hermione,What?
harry,But I-I never get mail.
dumbledore,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. "
dumbledore,Be careful.
dumbledore,There's been another attack.
harry,Maybe we should just go and wait by the car.
harry,I don't care.
harry,"The map was lying, then."
snape,"Perhaps it would be prudent to first teach the students to block unfriendly spells, professor."
harry,Wow!
hermione,Moaning Myrtle.
hermione,Here we come.
harry,No. I think my arm is broken.
snape,I can tell you how to bottle fame brew glory and even put a stopper in death.
harry,I see. That's me as well.
harry,My mother's eyes.
snape,And Gryffindors note that five points will be taken from your house for your classmate's cheek.
harry,Peter Pettigrew.
hermione,We just need a bit of who you're changing into.
harry,Your family?
harry,"Hermione, will you please tell me what it is we're doing?"
hermione,Just there.
harry,Thank you.
harry,That's a lie.
harry,The dog. Where is it?
harry,Nicholas Flamel...where are you?
harry,"But, Hagrid, how am I to pay for all this?"
harry,What?
harry, I think it's a warning.
harry,I will if she does.
harry,Lumos Maxima...
hermione,Has anyone seen a toad?
harry,"This is it, Ron. I think this is the entrance to the Chamber of Secrets."
hermione,That looks really painful.
harry,What? Come and live with you?
snape,"However, for those select few who possess the predisposition I can teach you how to bewitch the mind and ensnare the senses."
harry,You wrote them.
hermione,You won't make a fool of yourself. 
harry,Could you tell me how to...?
hermione,Now what do we do?
harry,Tom Riddle's diary is gone.
dumbledore,"It is as we feared, Minerva"
snape,We'll have another chat soon...
harry,Keep away from me.
dumbledore,If you succeed tonight more than one innocent life may be spared.
hermione,"The Philosopher's Stone is a legendary substance with astonishing powers. "
hermione,"Look at you, playing with your cards."
harry,Ron!
harry,I need to know how to fight them.
harry,Where's Hermione?
hermione,Me?
hermione,Ron!!
harry,"One minute I was staring in the mirror, and the next..."
snape,Perhaps Potter and his friends were just in the wrong place at the wrong time.
harry,Expecto Patronum!
hermione,I read about it in Hogwarts: A History.
dumbledore,Exactly.
hermione,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline."
dumbledore,Beg your pardon?
harry,Before I fainted I heard something.
dumbledore,"Fawkes is a phoenix, Harry."
harry,Someone I know to be dead.
hermione,Rubbish.
harry,"Dobby, please, no!"
harry,But who...?
harry,"Yeah, yeah, I'm fine."
hermione,That's right. 
dumbledore,"Well, what exactly is it that you want with me?"
harry,Was it nice there?
harry,Albus Dumbledore is the greatest sorcerer in the world.
dumbledore,"Therefore, it is only fitting that you both receive Special Awards for Services to the School."
hermione,"That's better, isn't it?"
harry,Can you hear me?
dumbledore,I am well aware of our bylaws having written quite a few of them myself.
harry,HAAGRIIID!
harry,Excuse me.
harry,So you mean this map shows...
harry,No. No.
harry,What are you doing?!
dumbledore,Thank you.
hermione,Much worse.
hermione,"You mean, You-Know-Who's out there, right now, in the forest?"
snape,You insolent little...
hermione,"Ron, you don't suppose this is going to be like...real wizard's chess, do you?"
harry,Anywhere is better than here.
harry,You told me my parents died in a car crash.
dumbledore,"Hogwarts will, until further notice, play host to the dementors of Azkaban until such a time as Sirius Black is captured."
harry,It's a broomstick!
harry,I can’t. Hogwarts is my home!
snape,Five points from Gryffindor.
harry,Certain similarities between Tom Riddle and me.
harry,Sirius!
hermione,"Come on. It's here. Come on, Beaky."
harry,"Hurry up now, Buckbeak, okay?"
hermione,I can't believe they're going to kill Buckbeak. It's just too horrible.
harry,Rictusempra!
hermione,The Mandrake's cry is fatal to anyone who hears it.
harry,"You better clear off before my bones come back Dobby, or I might strangle you."
hermione,Very dangerous.
hermione,They're going to suck out his soul.
harry,"This way, now."
snape,"No sign of Black, nor anywhere else in the castle."
hermione,"Bit early for mail, isn't it?"
harry,"We've got to talk to Hagrid, Ron."
harry,Come on.
hermione,That's what makes them so...
hermione,So rude.
hermione,Cheers.
harry,"Excuse me, sir."
harry,But I haven’t had any messages from any of my friends... not one… all summer.
harry,I think it's time to get my dad's old cloak out again.
dumbledore,Let me give you a clue. 
hermione,Did not.
harry,We need to find the train.
harry,Guarding something?
harry,It's his stomachache.
dumbledore,"Good luck, professor."
harry,We got lost.
hermione,I don't know.
harry,What are those?
dumbledore,"When in doubt, I find retracing my steps to be a wise place to begin."
harry,"It's all right, Ginny."
dumbledore,"Curiously, Lucius, several of them were under the impression that you would curse their family if they did not agree to suspend me in the first place."
hermione,No. No one ever comes in here.
harry,He just caught fire.
harry,We just don't know why.
harry,"See you, Hedwig."
harry,You're Voldemort.
harry,"But if you're not the monster, then what did kill that girl 50 years ago?"
harry,Excuse me. Excuse me.
dumbledore,"Very well, then. Off you go."
harry,Hang on.
hermione,We'll stay with you too.
harry,It's all upstairs.
harry,I fell over.
hermione,It's not a term one usually hears in civilized conversation.
harry,"Oh, nice to meet you."
hermione,Ron. You're okay.
harry,"Yes, sir... See why I’ve got to go back? "
hermione,That's why he's been missing classes.
dumbledore,"Relax, dear boy. The stone has been destroyed. "
harry,Th-then you let the troll in.
harry,He was nothing more than a murderer.
harry,Nothing. School stuff
hermione,"Come on. Come on, Buckbeak."
harry,"No, Dobby. Tell me."
hermione,We've got final exams coming up soon.
harry,"There's no such thing, is there?"
dumbledore,"I want it understood, Cornelius that Hagrid has my full confidence."
harry,I'm sure.
dumbledore,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.
harry,"Make a wish, Harry."
dumbledore,The truth.
harry,That's us.
dumbledore,"I wonder, could we...?"
harry,Come on.
harry,Thank you.
harry,All right. Hermione?
hermione,What's this all about?
snape,Any theories on how he managed it?
dumbledore,"When matured, a potion will be made which will revive Mrs. Norris."
snape,"As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite."
harry,Thank you.
harry,Ripped to pieces?
hermione,Since Professor Snape set the essay.
dumbledore,"Now, now, Hagrid. Now, come on."
harry,But someone was screaming.
harry,Sorry?
harry,I just hope I'm wrong.
harry,"Dobby, shh!"
harry,That's the memory I chose.
hermione,You heard what Madam Hooch said.
hermione,Congratulations.
harry,Get off!
hermione,Go away.
harry,"Okay, Buckbeak. Come quickly. "
harry,"But, Hermione,"
harry,Come on!
harry,Tell me about Peter.
dumbledore,He's far better off growing up away from all of that.
dumbledore,"Three turns should do it, I think."
harry,What's bad? If I hadn't told that snake not to attack Justin...
snape,"The term ""werewolf"" is a contraction of the Anglo-Saxon word ""were"" which means ""man,"" and ""wolf."" Werewolf, man-wolf."
hermione,"You okay, Ron?"
harry,Professor McGonagall.
harry,You. You're the Heir of Slytherin.
hermione,"No, Ron, you can't!"
harry,Hold on.
hermione,And we aren't leaving?
harry,"But he's a ghost, he couldn't die again."
harry,Ahh- ahh!
harry,Only that he's escaped from Azkaban.
hermione,"Harry, listen to me."
harry,I have a hunch.
harry,He sent the dementors away.
harry,"Say, Percy, who's that teacher talking to Professor Quirrell?"
hermione,"Harry, you're in Hagrid's hut now."
hermione,That's awful.
harry,Do you know anything about the Chamber of Secrets?
harry,Maybe we've broken down.
hermione,Me? Books and cleverness? 
hermione,Look who it is. Madam Rosmerta.
harry,Open it.
harry,Yes?
harry,Do you hear that?
harry,"Not to be to be rude or anything, but this isn’t a great time for me to have a house elf in my bedroom."
harry,I don't know.
harry,"Take care of Ron. Then, go to the owlery. "
harry,Expelliarmus!
dumbledore,Not intentionally but yes.
harry,The one with the broken wing!
snape,How disappointing.
harry,Hagrid!
harry,What?
harry,"Hermione, move!"
hermione,Harry!
dumbledore,It means that our students are in great danger.
harry,Let's take him to Hagrid's.
harry,It was my dad.
dumbledore,"Why, then, did the Sorting Hat place you in Gryffindor?"
harry,I read it on the train that day.
snape,We'll be sending Potter to the hospital wing in a matchbox.
harry,"Well, you haven't finished it this time."
harry,Not like this.
harry,It's a snake skin.
harry,Don't worry.
dumbledore,It's true. You possess many of the qualities that Voldemort himself prizes.
harry,"But, Hagrid, there must be a mistake."
hermione,Harry was lucky not to be expelled.
dumbledore,It's such a very long name...
harry,"Wood, look out!"
harry,"Not directly, at least."
dumbledore,"Before we begin the feast let us have a round of applause for Professor Sprout, Madam Pomfrey whose Mandrake juice has been so successfully administered to all who had been Petrified."
harry,Okay.
harry,"Look, we have to ask you something."
harry,Listen.
hermione,It's Snape! 
hermione,Oculus Reparo.
snape,Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?
harry,I've never seen spiders act like that.
hermione,Harry!
harry,What's a Mudblood?
harry,He'll He'll come back. 
hermione,"Besides, you don't even know how to fly."
harry,I didn't think my dad would have wanted his best friends to become killers.
hermione,Didn't.
hermione,I've been here all this time.
snape,"Oh, yes. A Dementor's Kiss. One can only imagine what that must be like."
harry,"I thought if you signed it, then I could..."
harry,I'm trying. Your hand's all sweaty.
snape,However the circumstances are suspicious.
harry,At least Hagrid didn't get fired.
hermione,We have to go.
harry,Do you think he's really asleep?
dumbledore,"But remember this, Harry. "
harry,What's going on?
harry,"I mean, more than everyone else?"
hermione,Beautiful day.
harry,"Mummy, Dad, come here! "
dumbledore,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. "
harry,You'd like a dragon?
hermione,Let's go.
hermione,Yes.
hermione,He lived a thousand years ago.
harry,My name is Harry Potter.
harry,I'm a what?
harry,Don't panic.
harry,"Because when he does, I'm gonna be ready!"
harry,Mrs. Weasley.
hermione,I can't believe you solved it.
harry,There was water on the floor that night.
harry,He'll like that after all those years in Azkaban.
harry,Come on! Okay. Push! 
harry,"Now, Neville, listen. We were"
hermione,Why are we stopping?
harry,Just talking.
harry,Voldemort?
dumbledore,Look beyond the rocks.
hermione,What an idiot.
harry,"So, then it shows us what we want? "
harry,I know why.
harry,Spooky.
harry,"Hermione, are you okay?"
harry,I didn't do it on purpose.
harry,Let's go.
harry,I saw him across the lake.
harry,Expecto Patronum!
harry,"The vault in question, number 713, had, in fact, been emptied earlier that very same day."""
harry,I just wasn't quick enough.
harry,Okay.
harry,I did think of Voldemort at first.
hermione,"Harry, you can't."
harry,Just do it.
dumbledore,Good evening.
harry,Your father left this in my possession before he died.
harry,Professor Dumbledore?
snape,"Clearly, it's full of dark magic."
harry,"I'm fine, thank you. I was just going..."
harry,Don't mention it.
harry," He said it was Hogwarts' business, very secret."
harry,I still need... a wand.
harry,"Lockhart may be useless, but he's going to try and get into the Chamber."
hermione,Fudge is coming.
hermione,Someone with non-magic parents.
harry,"But, what happened to the Stone?"
dumbledore,I didn't really expect him to linger.
harry,"Hermione! Hermione, wait."
harry,Catch the key!
hermione,For example:
hermione,Get off me!
hermione,"Headmaster, you've got to stop them."
harry,"Oh, yeah."
hermione,Do you remember me telling you that the Polyjuice Potion was only for human transformations?
harry,Did you hear it?
harry,"Shut up, Malfoy."
harry,Mischief managed. Nox.
harry,My dad wasn't a drunk.
hermione,Leave it to me. 
dumbledore,Teachers will follow me to the dungeons.
harry,He was their friend and he betrayed them.
harry,Ron! Fred. George. 
harry,"There's no Hogwarts without you, Hagrid."
dumbledore,They are not.
hermione,And Snape wasn't blinking.
harry,Arania Exumai!
hermione,"Harry, what happened?"
harry,"Excuse me Sir, Can you tell me where I might find platform 9 3/4?"
harry,Show me.
harry,Sirius. Come on!
harry,Godric Gryffindor.
harry,Why would I throw something at you?
hermione,Uh! I remember reading something in Herbology. 
hermione,Moaning Myrtle.
harry,He was their friend!
harry,One pair of dragon hide gloves.
harry,I think she heard you.
hermione,No. But I don't like flying...!
harry,Okay.
hermione,He's jinxing the broom!
hermione,It's meant to be the most haunted building in Britain. Did I mention that?
harry,"You're Aragog, aren't you?"
harry,Anything! 
snape,Vipera Evanesca.
harry,Wingardium Leviosa.
harry,They're my letters!
hermione,"When the smoke turns red, it means you've forgotten something."
harry,"If there really is a Chamber of Secrets, and it has been opened, that means... "
harry,Learnt what?
harry,I don't know. Going to Hagrid's?
harry,"Ron, this is it."
harry,Come on! Go!
harry,We'll just go.
harry,How?
dumbledore,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?"
harry,You don't expect me to sit here.
snape,Headmaster these boys have flouted the Decree for the Restriction of Underage Wizardry.
hermione,So you're saying...
harry,A month?
harry,That voice.
harry,They think he opened the Chamber of Secrets. Like before.
harry,I'm not going home. Not really.
snape,What's this?
hermione, What is it?
harry,I know you do.
harry,"No, Not you."
harry,Malfoy?
dumbledore,It lives in your very skin.
harry,Diagonally.
harry,Thanks.
dumbledore,Let them swim in the deepest ocean or glide over the highest cloud.
dumbledore,"However, as head of Gryffindor house it is for Professor McGonagall to determine the appropriate action."
hermione,Pleasure.
harry,"You see them, don't you? "
harry,No. She couldn't. She wouldn't.
harry,Not as good as you.
harry,But this is important! 
dumbledore,"But how she has been Petrified, I cannot say."
dumbledore,"Albus, do you really think it's safe, leaving him with these people?"
snape,"There you are, Potter!"
dumbledore,Yes.
hermione,Harry.
hermione,"Yes, and you must!"
dumbledore,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. "
harry,"Of the many fearsome beasts that roam our land none is more deadly than the basilisk."
harry,Muggle?
hermione,I went looking for the troll. 
hermione,"Mandrake, or Mandragora is used to return those who have been Petrified to their original state."
snape,Silence.
harry,But the Muggles. Can't they see us?
hermione,I thought I just saw...Never mind.
hermione, Petrificus Totalus.
hermione,Why aren't we leaving?
harry,She should be out of hospital in a few days when she stops coughing up fur balls.
harry," Hagrid, what's that?"
snape,I've done the dungeons.
dumbledore,"Good evening, Hagrid."
harry,Hermione's answered that too.
harry,"That's not good. Ron, run!"
hermione,"Stop moving, both of you. "
harry,This is why Hermione was in the library the day she was attacked.
hermione,Fudge has to see Buckbeak before we steal him.
harry,You're wrong!
hermione,Make sure that Crabbe and Goyle find these.
hermione,Mudblood's a foul name for someone who's Muggle-born.
hermione,We can't be there yet.
harry,This is it.
harry, Let's go. Sorry.
harry,And I'll bet one of them fits that door. 
dumbledore,He's been looking dreadful for days.
harry,Everyone?
harry,"But Hagrid, whatever Fluffy's guarding, Snape's trying to steal it!"
dumbledore,"I should've known that you would be here, Professor McGonagall."
harry,"Hagrid, what exactly are these things?"
hermione,"No, they can't."
snape,Weasley's wand causes devastation with the simplest spells.
harry,"Thanks, Hagrid. "
harry,What if I make a fool of myself?
hermione,"Alright, what are the 3 most crucial ingredients in a Forgetfulness Potion?"
harry,I-I didn't know.
harry,To You-Know-Who?
harry,I don't know.
hermione,Exactly.
hermione,"Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed...or worse, expelled!"
hermione,He'll be with his own kind.
hermione,Do you want to move a bit closer?
hermione,Do you think he's all right?
hermione,"It's not funny, Ron."
harry,Trevor.
harry,Stop it!
harry,None of it made any difference.
hermione,"Thanks, Sir Nicholas."
dumbledore,Good night.
harry,Give it here or I'll knock you off your broom!
harry,how do you know my friends haven’t been writing to me?
hermione,Up. Up. Up!
snape,I have now just confiscated a rather curious artifact.
hermione,"Come on, Buckbeak. Come on."
harry,Tell me Dobby when did this happen before?
harry,"Messrs. Moony, Wormtail, Padfoot and Prongs are proud to present the Marauder's Map."
dumbledore,Off you go.
harry,"Run! Quick, let's hide through that door!"
dumbledore,Everyone except you three.
harry,Why was he trying to get past that 3 headed dog on Halloween?
harry," We have to see Professor Dumbledore, immediately!"
snape,"Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin."
hermione,"You've got dirt on your nose, by the way."
hermione,Hang on a minute.
dumbledore,"When the governors learned that Arthur Weasley's daughter was taken into the Chamber, they saw fit to summon me back."
harry,"Well, thank you."
hermione,A fair few.
hermione,"No, Harry. Even in the wizarding world, hearing voices isn't a good sign."
harry,Expelliarmus!
harry,I like this ball.
hermione,Dufftown? That's not far from here.
snape,"Take a look, Lupin."
harry,He's asking me to come live with him.
harry,But I didn't realize...
harry,Come on!
harry,I don't understand. 
hermione,I had you looking in the wrong section! 
hermione,"Harry, no way!"
hermione,With each full moon he no longer remembers who he is.
snape,"How extraordinarily like your father you are, Potter."
harry,No.
snape,And what is the difference between monkshood and wolfsbane?
hermione,There's a reason the symbol of Slytherin house is a serpent.
harry,Poor Professor Lupin's having a really tough night.
harry,Voldemort.
harry,"It's just, I've never talked to a snake before."
hermione,"Let's see, then."
hermione,"What's wrong, Harry?"
dumbledore,"Good afternoon, Harry. "
harry,"Don't worry, he will."
hermione,We'd just found him when he said...
hermione,"Harry, listen to me."
harry,And you?
hermione,I've never seen a more complicated potion.
harry,She doesn't know!
harry,Hurry up!
dumbledore,"Am I right, Harry?"
hermione,I thought I just saw… Never mind.
hermione,You have to keep eye contact. 
dumbledore,"As I understand it, Madam Sprout has a very healthy growth of Mandrake."
harry,I have something of yours.
harry,The first time I rode a broom.
hermione,Ugh! What're we going to do? 
harry,But we'll take him to the castle.
dumbledore,"If not, the consequences are too ghastly to discuss."
dumbledore,"Oh, executioner, your services are no longer required."
hermione,That thing has a name?
harry,So the Sorting Hat was right.
harry,What's he teach?
snape,Should he be warned?
snape,"Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?"
harry,Why don’t you sit down?
dumbledore,"The happiest man on earth would look into the mirror and see only himself, exactly as he is."
harry,"I mean, how many people wander around with dragon eggs in their pockets? "
harry,"It's not happy, exactly."
harry,I haven't any money.
harry,"The day I was at Gringotts, Hagrid took something out of one of the vaults."
dumbledore,"Back again, Harry?"
harry,"Guys, let me go."
harry,Ok– I- understand. You can’t- say.
dumbledore,Thank you.
harry,Wait!
dumbledore,"Now, Prefects will lead their houses back to the dormitories. "
hermione,We're coming out the back door. Go!
hermione,Come on. Everywhere else is full
dumbledore,I have a few start-of-term notices I wish to announce.
harry,"Yes, sir."
dumbledore,Hagrid is bringing him.
harry,Admirers?
hermione,Keep trying. Come on. Quickly.
hermione,Is it...dead?
hermione,But there might be another way.
harry,"Whooa! Whoa, whoa! "
harry,Ah- um.. Reading.
dumbledore,Not a single professor inside this castle would help Sirius Black enter it.
dumbledore,"We will be able to cure her, Argus."
snape,"As such, I don't expect many of you to appreciate the subtle science and exact art that is potion-making."
hermione,Please believe us.
harry,Please wake up.
harry,Lumos.
hermione,"After he saved you, he sent them off."
hermione,"As long as Dumbledore's around, you're safe. "
hermione,"The Grim, possibly."
harry,Why can't we get through?
dumbledore,It is our choices.
harry,Ron!
harry,I think she fancies you.
harry,It was my dad conjured the Patronus.
hermione,Get in
harry,Everything.
hermione,Any minute the dementors are gonna perform the Kiss.
hermione,But it's the only plan we've got.
dumbledore,My friend Nicholas and I had a little chat and agreed it was best all around.
harry,Maybe if you wrote it down?
harry,Malfoy.
hermione,Sorry.
harry,"It was Snape, which means he knows how to get past Fluffy."
harry,I solemnly swear that I am up to no good.
hermione,"Good. You can help Harry, then. "
hermione,Fear of a name only increases fear of the thing itself.
harry,I am.
hermione,What a load of rubbish.
harry,What's Seamus trying to do to that glass of water?
dumbledore,How extraordinary.
harry,He's free. We did it.
harry,Yes.
hermione,There must be another way!
dumbledore,You must not be seen.
snape,They include being given the power of shape-shifting being bitten by a werewolf...
harry,"He doesn't understand what it's like, lying there day after day..."
harry,Seems a pity not to ask her.
snape,Are you incapable of restraining yourself or do you take pride in being an insufferable know-it-all?
dumbledore,The dementors will be stationed at every entrance to the grounds.
hermione,Alohomora.
harry,Ron...
hermione,"You! You foul, loathsome,evil little cockroach!"
harry,"What's that you've got, Hagrid?"
harry,"Hagrid, Do they mean from a real dragon?"
harry,It's over.
harry,Hagrid always wanted a dragon. 
hermione,I'm going to go check on the Polyjuice Potion.
harry,"Ron, are you okay?"
harry,Let's go.
hermione,Why don't we just go and ask him about it?
snape,"Out for a little walk in the moonlight, are we?"
hermione,That felt good.
harry,Hello?
harry,"I think you do, sir."
harry,I should be in Slytherin.
harry,"Get in there, and keep quiet!"
hermione,"What's he talking about, Harry?"
snape,Our new celebrity.
dumbledore,"Also, our caretaker, Mr. Filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death."
hermione,Just relax!
harry,"Dobby! Dobby, put the lamp down."
hermione,McGonagall's worried. 
dumbledore,Voldemort.
hermione,"The question is, who is it?"
snape,You have risked the exposure of our world.
dumbledore,"If I'm not mistaken, Harry he transferred some of his powers to you the night he gave you that scar."
dumbledore,Nothing but that could have called Fawkes to you.
harry,Come on! Pull!
harry,"But why am I famous, Hagrid?"
hermione,The Heir of Slytherin has returned to Hogwarts. 
harry,We better take this back.
harry,What are you wearing?
harry,We're friends of Hagrid's.
harry,I heard it first in Lockhart's office.
harry,This says platform 9 3/4.
harry,It's going into the Girl's Bathroom!
harry,It's the happiest I've ever felt but it's complicated.
harry,How can I speak a language without knowing I can?
harry,But who would choose such a life?
hermione,Where do you suppose this goes?
harry,"Dobby, ssh! I’m sorry! "
harry,"These aren't real frogs, are they?"
hermione,Let's go.
hermione,"The only stone currently in existence belongs to Mr. Nicholas Flamel, the noted alchemist, who last year celebrated his 665th birthday!"
hermione,"Ron's right, Harry. "
harry,"Thanks, Ron."
harry,Oh! 
dumbledore,The only family he has.
harry,We could live in the country someplace you can see the sky.
hermione,It's forbidden.
harry,Send a message to Dumbledore. 
harry,Thank you.
harry,Ginny?
harry,Sorry.
hermione,You attacked a teacher!
snape,"A girl has been snatched by the monster, Lockhart. "
harry,It was Hagrid. 
harry,"Come on, let's get them."
harry,Ahhhhhhhhh!
hermione,Hope you don't mean yourself.
harry,Snape's already been here. 
dumbledore,Good luck...Harry Potter.
harry,I knew the name sound familiar.
hermione,It's just bewitched to look like the night sky.
harry,Yeah.
harry,I'll go on and find Ginny.
hermione,I meant me!
dumbledore,"You know the laws, Miss Granger"
harry,Who are you?
hermione,A werewolf has no choice.
dumbledore,Did what?
hermione,"Feels strange to be going home, doesn't it?"
hermione,Muggle-borns.
dumbledore,"But yes, he will die."
harry,Voldemort.
hermione,Just ignore him.
harry,How could a troll get in?
hermione,Now what do we do?
hermione,"Listen Harry, they've captured Sirius."
harry,There! I see it!
harry,"One minute the glass was there and then it was gone, it was like magic."
hermione,You're going to take someone's eye out. 
hermione,"Um Devil's Snare, Devil's Scare,it's deadly fun...but will sulk in the sun! "
hermione,"But Malfoy, the Heir of Slytherin?"
hermione,It's written in blood.
harry,"Dobby, please stop!"
hermione,Just go. You're wasting time.
harry,Ron! You've really got to see this! 
harry,Yeah. It should be great.
harry,"I don't know, Sir."
hermione,What is that?
hermione,Look. It's Lupin.
dumbledore,They'll not distinguish between the one they hunt and the one who gets in their way.
harry,I know.
harry,The family you serve is the Malfoys.
harry,No.
harry,Expecto Patronum.
harry,What's this rubbish?
harry,Ron.
dumbledore,"Dear lady, who did this to you?"
harry,He's gone?! Now? 
harry,You liar!
harry,"Before, down by the lake, when I was with Sirius I did see someone."
harry,Fortuna Major.
harry,Hagrid never opened the Chamber of Secrets.
harry,Sirius!
hermione,"Of course. That's why he knew to give you the chocolate, Harry."
harry,But who sent it?
harry,Just promise me something.
harry,Your bird...There was nothing I could do.
harry,So this is your master.
harry,Voldemort was after your time.
dumbledore,"No, Harry. I do not think it was you."
harry,Then it'll be you!
snape,A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons.
snape,"Remarkable feat, don't you think?"
hermione,"Honestly, Ron, it's not funny."
harry,You first.
harry,I think it’s brilliant
harry,"You were brilliant, Fawkes."
dumbledore,"And in first place, with 472 points, Slytherin House."
harry,It's too simple.
harry,we almost get killed by a tree...
dumbledore,"I'm afraid so, professor."
harry,You see Sirius talking to me there?
harry,It's Filch's cat.
harry,What happened to me?
harry,I didn't.
harry,Look in properly. Go on. 
harry,Do you miss your family?
harry,And for good reason. 
hermione,Dementors aren't supposed to be on the grounds. Dumbledore's furious.
harry,Not really.
hermione,I don't like this at all.
hermione,It's in his nature.
harry,But what was that thing you saved me from?
harry,Excellent.
dumbledore,Until he's ready.
harry,"Besides, dead, the truth dies with him."
harry,Expecto Patronum!
harry,Are you all right?
harry,Snape was trying to...save me?
harry,Right there. You'll see.
hermione,Nicholas Flamel is the only known maker of the Philosopher's Stone!
snape,"For your information, Potter"
harry,You're running away?
hermione,Just forget it.
harry,Be thankful it's not your neck.
hermione,Yes 
harry,Lucky Hermione pays attention in Herbology.
harry,"No, sir. Nothing"
dumbledore,"Innocent until proven guilty, Severus."
harry,We'll take the lot.
hermione,With a Patronus.
harry,Go!
snape,There are several ways to become a werewolf.
harry,That hurt.
hermione,Unless it wasn't a student.
hermione,"Honestly, don't you two read? "
harry,Thats my dad
hermione,Happy Christmas.
hermione,Professor? What exactly does legend tell us lies within the Chamber?
harry,One of the teachers?
dumbledore,"It shows us nothing more or less than the deepest, most desperate desires of our hearts. "
harry,But have you seen it?
dumbledore,Mr. Filch? Round up the ghosts.
snape,"I, for one, don't recall seeing Potter at dinner."
hermione,At least someone's enjoying himself.
snape,"Put your hand down, you silly girl!"
harry,Pettigrew escaped.
harry,I mean...l can't be a wizard.
dumbledore,"Argus, I..."
harry,Come on.
dumbledore,"Harry, First, I want to thank you, Harry."
harry,"Snape doesn't want the stone for himself, he wants the stone for Voldemort. "
harry,Arania Exumai!
dumbledore,I'd like a cup of tea.
harry,Yes!
harry,You've been taking credit for what other wizards have done.
harry,Exactly.
harry,Now more than ever.
dumbledore,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. "
harry,I think we found the train.
harry,Mum? Dad? 
hermione,Whoo-hoo!
harry,"Who was it, then?"
hermione,See you haven't.
dumbledore,"Now, look there."
hermione,Ow! You stood on my foot!
snape,What? Oh!
hermione,"How did it go, Hagrid? The hearing?"
harry,We go down the trapdoor. Tonight.
harry,What terrible things? 
dumbledore,Is there something you wish to tell me?
hermione,I checked this out a few weeks ago for a bit of light reading.
harry,It’s the only place I’ve got friends!
harry,It is time it was returned to you.
hermione," Neville, I'm really, really sorry about this"
hermione,If you're talking about Malfoy...
harry,But what's he got to do with me?
harry,No. Is that really...?
harry,After all you did in your books?
snape,"Now, what would three young Gryffindors such as yourselves be doing inside on a day like this?"
dumbledore,Now whilst I've been assured that their presence will not disrupt our day-to-day activities a word of caution.
harry,Snoring
hermione,"Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another."
harry,That's why I can hear it speak.
hermione,What do you expect?
snape,Why aren't you all copying this down?
hermione,We're tied with Slytherin!
dumbledore,Thank you.
harry,"One, but it's not powerful enough for all of them."
harry,I’m not allowed to use magic outside of school. 
hermione,Me too.
harry,It'll fit me like bits of old elephant skin.
hermione,And Snape's coming.
harry,Where's Ron?
harry,"Give it here, Malfoy."
harry,Some kind of...cloak.
harry,No. She deserved what she got.
harry,"Not Slytherin, not Slytherin!"
harry,Let's go this way.
dumbledore,However you will find that help will always be given at Hogwarts to those who ask for it.
harry,"Well, I expect they’ve... been- hang on- "
harry,Don't follow until I give you a sign.
snape,"Yes, Miss Granger?"
harry,Do something!
dumbledore,Dementors are vicious creatures.
harry,"It just said, ""Use it well."""
hermione,"Otherwise, he'll think Hagrid set him free."
harry,What?
hermione,Thanks.
hermione,Ronald has lost his rat.
harry,Then you're not the monster?
hermione,Malfoy's coming.
harry,Uncle Vernon. I need you to sign this form.
hermione,"That's why Ron and I went looking for him, professor."
harry,Good punch.
harry,And Hermione had the mirror.
harry,Knight to E-5.
snape,Turn to page 394.
harry,There's a basilisk.
hermione,"If we succeed, more than one innocent life could be spared."
hermione,It's in your blood.
hermione,"The Chamber of Secrets has been opened. 
Enemies of the Heir, beware."
snape,Not to mention the damage you inflicted on a Whomping Willow.
harry,Spiders flee before it.
harry,"Besides, if Uncle Vernon…"
harry,Yes.
harry,Sirius.
harry,What?
hermione,Are you okay?
dumbledore,"In fourth place, Gryffindor with 312 points. "
harry,"Honestly, Ron. How can somebody be in two places at once?"
dumbledore,"There, there, Hagrid."
harry,"Come on, Fang."
dumbledore,"The first years, please note that the Dark Forest is strictly forbidden to all students."
