,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
841,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
29,Master,Together,40s,Medium,No Children,Wine,Fruits,No Meat,Sweets,Store
1358,2n Cycle,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1524,Master,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1326,Graduation,Single,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
27,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1914,PhD,Married,60s,High,Children,Wine,Fruits,Meat,Sweets,Store
889,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1309,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1129,2n Cycle,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1187,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1967,Graduation,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
998,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2087,Graduation,Widow,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
280,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
301,Master,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1265,Graduation,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
698,Master,Single,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1829,PhD,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1610,PhD,Divorced,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
955,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1553,PhD,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
726,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1547,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
744,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1152,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
672,PhD,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
917,PhD,Together,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
473,Master,Together,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
440,2n Cycle,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1623,Master,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1883,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1884,Graduation,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
422,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1115,Basic,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
855,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
2199,2n Cycle,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2080,PhD,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1828,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1214,Graduation,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1746,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
536,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
879,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
606,Master,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1950,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1814,Graduation,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
67,PhD,Married,30s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
1008,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1096,Graduation,Married,40s,High,Children,Wine,No Fruits,No Meat,Sweets,Store
1847,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1677,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
6,Graduation,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
362,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
451,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
986,Graduation,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1561,Graduation,Married,80s,Medium,No Children,No Wine,No Fruits,Meat,No Sweets,Store
1523,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1971,Graduation,Married,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
1292,Graduation,Together,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
2016,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
2133,2n Cycle,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
732,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1070,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
225,Master,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1849,Master,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
254,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1839,Master,Single,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
737,PhD,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1565,Graduation,Divorced,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1590,2n Cycle,Single,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
856,Graduation,Together,30s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
2096,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1640,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1969,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1021,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
321,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
96,Basic,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
70,Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1725,PhD,Single,60s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Web
753,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
2093,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
95,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
218,PhD,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
287,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
959,2n Cycle,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1662,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
13,Graduation,Married,20s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Store
89,2n Cycle,Married,60s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
106,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
573,Graduation,Widow,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
1279,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
702,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
651,Master,Together,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
101,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
535,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1923,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
493,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1185,PhD,Married,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
2215,PhD,Married,50s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
19,Graduation,Married,20s,Medium,No Children,No Wine,No Fruits,Meat,Sweets,Store
1052,Graduation,Married,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
264,PhD,Together,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1943,Master,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
2132,2n Cycle,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
923,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
2160,Basic,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1525,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1418,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2166,Basic,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2154,PhD,YOLO,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
103,Master,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1064,2n Cycle,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1138,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1382,PhD,Married,40s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Web
772,Basic,Married,20s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
1766,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
130,Master,Together,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
160,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
361,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
291,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1426,Master,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
183,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
2197,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1771,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1516,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
355,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1838,Master,Divorced,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
74,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
425,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
398,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1607,Graduation,Together,40s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
920,Basic,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1387,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
403,2n Cycle,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1556,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2019,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1485,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1142,PhD,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
432,Graduation,Divorced,50s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
503,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
484,PhD,Together,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
364,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1745,Graduation,Together,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1695,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
971,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1750,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1651,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
215,Graduation,Together,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
407,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1365,Master,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
18,2n Cycle,Single,20s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
2119,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1295,Graduation,Married,20s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
2066,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1357,Graduation,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
519,Master,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
715,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1460,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
819,PhD,Together,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
658,Master,Single,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1784,Graduation,Together,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1752,Master,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1743,2n Cycle,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
662,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1770,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
908,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1126,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1470,PhD,Together,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1952,Master,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
812,2n Cycle,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
300,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
331,Basic,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1131,Graduation,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
324,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1903,2n Cycle,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1197,Graduation,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
474,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1602,Master,Married,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1147,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
384,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1569,Master,Together,50s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
208,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1789,PhD,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1384,Graduation,Married,30s,High,Children,Wine,Fruits,No Meat,No Sweets,Web
1763,Basic,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
621,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
382,PhD,Together,20s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
205,2n Cycle,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
36,Graduation,Widow,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1050,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1886,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
713,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1397,Graduation,Single,20s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Web
240,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2116,Master,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1535,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1827,Master,Together,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1589,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1121,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1385,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
864,Graduation,Married,20s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1313,Graduation,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
1652,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
290,2n Cycle,Together,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1051,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
311,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
278,Master,Divorced,60s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
914,2n Cycle,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1287,Master,Together,40s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1801,Graduation,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
383,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
951,Graduation,Married,30s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Store
459,PhD,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1105,Basic,Together,40s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Web
1431,PhD,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1668,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
377,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
104,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
184,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2031,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
647,Graduation,Together,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
2076,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1945,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1779,Graduation,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
2174,Graduation,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
325,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1822,PhD,Divorced,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
712,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1585,Master,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
691,Master,Divorced,40s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
1682,Master,Widow,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
968,Graduation,Divorced,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
629,PhD,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
525,2n Cycle,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
132,PhD,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
809,Graduation,Single,50s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
1080,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2043,PhD,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1995,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1842,Graduation,Together,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
844,Graduation,Married,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1144,Graduation,Together,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
492,Graduation,Widow,50s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Store
808,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
1552,PhD,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1176,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
219,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1705,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1938,PhD,Widow,60s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
1471,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
678,Graduation,Single,40s,High,No Children,Wine,No Fruits,Meat,Sweets,Web
673,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
703,2n Cycle,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
653,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2035,Graduation,Widow,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1244,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
727,PhD,Single,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1373,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1929,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1284,Graduation,Together,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
2202,Graduation,Together,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1090,Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
796,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1893,2n Cycle,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
319,PhD,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
823,Master,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
750,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2054,PhD,Single,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
239,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1082,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
562,PhD,Married,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1837,PhD,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
248,PhD,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1727,PhD,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1554,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
542,Graduation,Together,50s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Store
2191,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2048,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
161,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
641,Graduation,Divorced,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
978,2n Cycle,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
476,2n Cycle,Widow,50s,Medium,No Children,No Wine,No Fruits,Meat,Sweets,Web
1900,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1690,Graduation,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1508,Graduation,Married,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
2015,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1486,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1567,Graduation,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1208,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
924,PhD,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
138,Master,Married,40s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
2062,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
340,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
77,Master,Together,40s,Medium,No Children,Wine,Fruits,No Meat,Sweets,Store
1587,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2000,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
507,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
65,Master,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1835,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1087,Graduation,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1588,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2097,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
804,Graduation,Single,50s,Low,No Children,No Wine,No Fruits,Meat,Sweets,Web
545,2n Cycle,Married,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
890,Graduation,Together,30s,Medium,No Children,Wine,Fruits,Meat,No Sweets,Store
450,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
419,2n Cycle,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1747,2n Cycle,Married,20s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
72,2n Cycle,Together,30s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
97,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
2176,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
428,PhD,Married,60s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
937,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1312,Master,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1175,PhD,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1530,Graduation,Single,40s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
913,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1913,PhD,Married,30s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
334,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
197,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2067,Master,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
437,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
520,Graduation,Married,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
447,Graduation,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1880,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
